,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Raul Ruiz,Male,hispanic (Mexican),,,Yes,No,California,3/5/24,Representative,25,H2CA36439,45882,81.85%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Chris Anstead,Male,white,,,No,Yes,California,3/5/24,Representative,26,,6841,7.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
Julia Brownley,Female,White,,,Yes,No,California,3/5/24,Representative,26,H2CA00120,84997,92.55%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
George Whitesides,Male,White,,,No,No,California,3/5/24,Representative,27,,44391,72.87%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,
Steve Hill,Male,Black,,,No,No,California,3/5/24,Representative,27,,16525,27.13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,
Judy Chu,Female,Asian (Chinese),,,Yes,No,California,3/5/24,Representative,28,H0CA32101,99261,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Angélica María Dueñas,Female,hispanic (Mexican),,,No,No,California,3/5/24,Representative,29,,19844,33.11%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,
Luz Maria Rivas,Female,hispanic,,,No,No,California,3/5/24,Representative,29,,40096,66.89%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Anthony Portantino,Male,White,,,No,No,California,3/5/24,Representative,30,,20459,17.10%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ben Savage,Male,White (Jewish),,,No,No,California,3/5/24,Representative,30,,6147,5.14%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Courtney Simone Najera,Female,hispanic (Mexican),Middle Eastern,,No,No,California,3/5/24,Representative,30,,1167,0.98%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Francesco Arreaga,Male,hispanic (Guatemalan),,,No,No,California,3/5/24,Representative,30,,532,0.44%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"G. ""Maebe"" Pudlo",Female (Trans),White,,,No,No,California,3/5/24,Representative,30,,15791,13.20%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jirair Ratevosian,Male,Asian (Armenian),Middle Eastern (Lebanese),,No,No,California,3/5/24,Representative,30,,2889,2.42%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Laura Friedman,Female,White,,,No,No,California,3/5/24,Representative,30,,46329,38.73%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Feuer,Male,White,,,No,No,California,3/5/24,Representative,30,,18878,15.78%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nick Melvoin,Male,White,,,No,No,California,3/5/24,Representative,30,,4134,3.46%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sal Genovese,Male,White,,,No,No,California,3/5/24,Representative,30,,442,0.37%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sepi Shyne,Female,Middle Eastern (Iranian),,,No,No,California,3/5/24,Representative,30,,2126,1.78%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Andraé Dunwoody,Male,Black,,,No,No,California,3/5/24,Representative,30,,727,0.61%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bob J. Archuleta,Male,hispanic (Mexican),,,No,No,California,3/5/24,Representative,31,,10151,16.11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gil Cisneros,Male,hispanic (Mexican),,,No,No,California,3/5/24,Representative,31,,23888,37.92%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Greg Hafif,Male,White,,,No,No,California,3/5/24,Representative,31,,4914,7.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kurt Jose,Male,hispanic,,,No,No,California,3/5/24,Representative,31,,1415,2.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mary Ann Lutz,Female,White,,,No,No,California,3/5/24,Representative,31,,6629,10.52%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Susan Rubio,Female,hispanic (Mexican),,,No,No,California,3/5/24,Representative,31,,16006,25.41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brad Sherman,Male,White,,,Yes,No,California,3/5/24,Representative,32,H6CA24113,91952,83.30%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Christopher A. Ahuja,Male,Asian (Indian/Sikh),,,No,Yes,California,3/5/24,Representative,32,,12637,11.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,N/A,N/A,
Dave Abbitt,Male,Unknown,,,No,Yes,California,3/5/24,Representative,32,,1665,1.51%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,N/A,N/A,
Douglas Smith,Male,White,,,No,Yes,California,3/5/24,Representative,32,,2504,2.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,N/A,N/A,
Trevor Lucas Witt,Male,White,,,No,Yes,California,3/5/24,Representative,32,,1635,1.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,N/A,N/A,
Pete Aguilar,Male,hispanic (Mexican),,,Yes,No,California,3/5/24,Representative,33,H2CA31125,45065,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
David Kim,Male,Asian (Korean),,,No,Yes,California,3/5/24,Representative,34,,22703,34.08%,Made runoff,,,,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,N/A,N/A,
David M. Ferrell,Male,White,,,No,Yes,California,3/5/24,Representative,34,,2312,3.47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,N/A,N/A,
Jimmy Gomez,Male,hispanic (Mexican),,,Yes,No,California,3/5/24,Representative,34,H8CA34266,41611,62.45%,Made runoff,,,,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Melissa May,Female,hispanic,,,No,Yes,California,3/5/24,Representative,35,,6432,14.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,
Norma J. Torres,Female,hispanic (Guatemalan),,,Yes,No,California,3/5/24,Representative,35,H4CA35031,39051,85.86%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,
Ted W. Lieu,Male,Asian (Taiwanese),,,Yes,No,California,3/5/24,Representative,36,H4CA33119,125858,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Adam J. Carmichael,Male,White,,,No,Yes,California,3/5/24,Representative,37,,7520,10.75%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,No,N/A,
Sydney Kamlager-Dove,Female,Black,,,Yes,No,California,3/5/24,Representative,37,H2CA37304,62413,89.25%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Linda T. Sánchez,Female,hispanic (Mexican),,,Yes,No,California,3/5/24,Representative,38,H2CA39078,62325,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Mark Takano,Male,Asian (Japanese),,,Yes,No,California,3/5/24,Representative,39,H2CA43245,48351,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Allyson Muñiz Damikolas,Female,hispanic (Mexican and Puerto Rican),,,No,No,California,3/5/24,Representative,40,,35153,41.30%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe Kerr,Male,White,,,No,No,California,3/5/24,Representative,40,,49965,58.70%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
