,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Mark Steven Gosnell,Male,white,,,No,No,Maryland,5/14/24,Representative,3,,221,0.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Terri Hill,Female,black,,,No,No,Maryland,5/14/24,Representative,3,,5318,6.53%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Aisha Khan,Female,asian,,,No,No,Maryland,5/14/24,Representative,3,,2199,2.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Clarence Lam,Male,asian,,,No,No,Maryland,5/14/24,Representative,3,,9548,11.73%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Matt Libber,Male,white,,,No,No,Maryland,5/14/24,Representative,3,,159,0.20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
"John H. Morse, III",Male,white,,,No,No,Maryland,5/14/24,Representative,3,,1447,1.78%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,No,N/A,
Kristin Anne Lyman Nabors,Female,white,,,No,No,Maryland,5/14/24,Representative,3,,397,0.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Jake Pretot,Male,white,,,No,No,Maryland,5/14/24,Representative,3,,162,0.20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Don Quinn,Male,black,,,No,No,Maryland,5/14/24,Representative,3,,408,0.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Mike Rogers,Male,black,,,No,No,Maryland,5/14/24,Representative,3,,2147,2.64%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Danny Craig Rupli,Male,white,,,No,No,Maryland,5/14/24,Representative,3,,34,0.04%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Gary Schuman,Male,white,,,No,No,Maryland,5/14/24,Representative,3,,286,0.35%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Stewart Fred Silver,Male,unknown,,,No,No,Maryland,5/14/24,Representative,3,,78,0.10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Jeff Woodard,Male,black,,,No,No,Maryland,5/14/24,Representative,3,,352,0.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Glenn F. Ivey,Male,black,,,Yes,No,Maryland,5/14/24,Representative,4,H2MD04315,66659,84.88%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Joseph Gomes,Male,asian (bangladeshi),,,No,Yes,Maryland,5/14/24,Representative,4,,3673,4.68%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Emmett Johnson,Male,black,,,No,Yes,Maryland,5/14/24,Representative,4,,3835,4.88%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Gabriel Njinimbot,Male,black (west african),,,No,Yes,Maryland,5/14/24,Representative,4,,4366,5.56%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Steny Hoyer,Male,white,,,Yes,No,Maryland,5/14/24,Representative,5,H2MD05155,69723,72.33%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Quincy Bareebe,Female,black,,,No,Yes,Maryland,5/14/24,Representative,5,,9970,10.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Andrea L. Crooms,Female,white,,,No,Yes,Maryland,5/14/24,Representative,5,,6955,7.22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
McKayla Wilkes,Female,black,,,No,Yes,Maryland,5/14/24,Representative,5,,9743,10.11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Peter Choharis,Male,white,,,No,No,Maryland,5/14/24,Representative,6,,818,1.44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
April McClain Delaney,Female,white,,,No,No,Maryland,5/14/24,Representative,6,,22985,40.38%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
George Gluck,Male,white,,,No,No,Maryland,5/14/24,Representative,6,,437,0.77%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Geoffrey Grammer,Male,white,,,No,No,Maryland,5/14/24,Representative,6,,651,1.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Ashwani Jain,Male,asian,,,No,No,Maryland,5/14/24,Representative,6,,4750,8.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Lesley J. Lopez,Female,"white* adopted by latno father, capitalizes his family's immigration story",,,No,No,Maryland,5/14/24,Representative,6,,2600,4.57%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Tekesha A. Martinez,Female,black,,,No,No,Maryland,5/14/24,Representative,6,,3992,7.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
"Stephen R. McDow, II",Male,black,,,No,No,Maryland,5/14/24,Representative,6,,246,0.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Mohammad S. Mozumder,Male,asian,,,No,No,Maryland,5/14/24,Representative,6,,1005,1.77%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Adrian Petrus,Male,white,,,No,No,Maryland,5/14/24,Representative,6,,166,0.29%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Joel Rubin,Male,white,,,No,No,Maryland,5/14/24,Representative,6,,820,1.44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Laurie-Anne Sayles,Female,black,,,No,No,Maryland,5/14/24,Representative,6,,1845,3.24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Joe Vogel,Male,hispanic (uruguayan),,,No,No,Maryland,5/14/24,Representative,6,,14940,26.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Destiny Drake-West,Female,black,,,No,No,Maryland,5/14/24,Representative,6,,1086,1.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
"Kiambo ""Bo"" White",Male,black,,,No,No,Maryland,5/14/24,Representative,6,,401,0.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Altimont Mark Wilks,Male,black,,,No,No,Maryland,5/14/24,Representative,6,,179,0.31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Tashi Kimandus Davis,Male,black,,,No,Yes,Maryland,5/14/24,Representative,7,,11640,11.60%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,
Kweisi Mfume,Male,black,,,Yes,No,Maryland,5/14/24,Representative,7,H6MD07020,88727,88.40%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Jamie Raskin,Male,white (jewish),,,Yes,No,Maryland,5/14/24,Representative,8,H6MD08457,103071,94.82%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Eric Felber,Male,white,,,No,Yes,Maryland,5/14/24,Representative,8,,5636,5.18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
David J. Trone,Male,white,,,No,No,Maryland,5/14/24,Senator,N/A,,286381,42.80%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Angela Alsobrooks,Female,black,,,No,No,Maryland,5/14/24,Senator,N/A,,357052,53.37%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
"Michael W. Cobb, Sr.",Male,white,,,No,No,Maryland,5/14/24,Senator,N/A,,4524,0.68%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Marcellus Crews,Male,black,,,No,No,Maryland,5/14/24,Senator,N/A,,3379,0.51%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Brian E. Frydenborg,Male,white,,,No,No,Maryland,5/14/24,Senator,N/A,,3635,0.54%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Scottie J. Griffin,Female,black,,,No,No,Maryland,5/14/24,Senator,N/A,,3579,0.53%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Robert K. Houton,Male,white,,,No,No,Maryland,5/14/24,Senator,N/A,,1946,0.29%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Joseph Perez,Male,asian (fillipino),,,No,No,Maryland,5/14/24,Senator,N/A,,4688,0.70%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Steven Henry Seuferer,Male,unknown,,,No,No,Maryland,5/14/24,Senator,N/A,,1664,0.25%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Andrew Jaye Wildman,Male,white,,,No,No,Maryland,5/14/24,Senator,N/A,,2198,0.33%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,
Carol Blood,Female,white,,,No,No,Nebraska,5/14/24,Representative,1,,34888,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tony Vargas,Male,hispanic,,,No,No,Nebraska,5/14/24,Representative,2,,39038,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,
Daniel Ebers,Male,white,,,No,No,Nebraska,5/14/24,Representative,3,,7841,52.90%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David J. Else,Male,white,,,No,No,Nebraska,5/14/24,Representative,3,,6982,47.10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Preston Love Jr.,Male,black,,,No,No,Nebraska,5/14/24,Senator (unexpired term),N/A,,85114,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Bob Reed,Male,unknown,,,No,No,West Virginia,5/14/24,Representative,1,,27509,56.41%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Umberger,Male,white,,,No,No,West Virginia,5/14/24,Representative,1,,21253,43.59%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steven Wendelin,Male,white,,,No,No,West Virginia,5/14/24,Representative,2,,39832,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Don Blankenship,Male,white,,,No,No,West Virginia,5/14/24,Senator,N/A,,18778,18.46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Glenn Elliott,Male,white,,,No,No,West Virginia,5/14/24,Senator,N/A,,46176,45.40%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zachary Shrewsbury,Male,white,,,No,No,West Virginia,5/14/24,Senator,N/A,,36754,36.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Williams,Male,white,,,No,No,West Virginia,5/14/24,Governor,N/A,,89576,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Patti Hewitt,Female,white,,,No,No,Georgia,5/21/24,Representative,1,,25082,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sanford Bishop,Male,black,,,Yes,No,Georgia,5/21/24,Representative,2,H2GA02031,46379,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Val Almonord,Male,black (haitian),,,No,No,Georgia,5/21/24,Representative,3,,11730,46.98%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maura Keller,Female,white,,,No,No,Georgia,5/21/24,Representative,3,,13237,53.02%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Henry ""Hank"" Johnson Jr.",Male,black,,,Yes,No,Georgia,5/21/24,Representative,4,H6GA04129,53269,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Nikema Williams,Female,black,,,Yes,No,Georgia,5/21/24,Representative,5,H0GA05301,69116,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Lucy McBath,Female,black,,,Yes,No,Georgia,5/21/24,Representative,6,H8GA06393,60837,84.75%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Jerica Richardson,Female,black,,,No,Yes,Georgia,5/21/24,Representative,6,,6699,9.33%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Mandisha Ann-Marie Thomas,Female,black,,,No,Yes,Georgia,5/21/24,Representative,6,,4247,5.92%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Bob Christian,Male,white,,,No,No,Georgia,5/21/24,Representative,7,,20958,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darrius Maurice Butler,Male,black,,,No,No,Georgia,5/21/24,Representative,8,,15755,71.64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vince Watkins,Male,white,,,No,No,Georgia,5/21/24,Representative,8,,6236,28.36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tambrei Cash,Female,white,,,No,No,Georgia,5/21/24,Representative,9,,16654,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Alexandra ""Lexy"" Doherty",Female,white,,,No,No,Georgia,5/21/24,Representative,10,,18040,59.01%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jessica Fore,Female,white,,,No,No,Georgia,5/21/24,Representative,10,,12532,40.99%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Antonio Daza,Male,hispanic (venezuelan),,,No,No,Georgia,5/21/24,Representative,11,,10449,43.42%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Katy ""Kate"" L. Stamper",Female,white,,,No,No,Georgia,5/21/24,Representative,11,,13615,56.58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Daniel ""DJ"" Jackson",Male,black,,,No,No,Georgia,5/21/24,Representative,12,,16238,41.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Elizabeth ""Liz"" Johnson",Female,black,,,No,No,Georgia,5/21/24,Representative,12,,23358,58.99%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Baker,Male,black,,,No,Yes,Georgia,5/21/24,Representative,13,,7480,11.60%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Marcus Flowers,Male,black,,,No,Yes,Georgia,5/21/24,Representative,13,,6439,9.99%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Brian K. Johnson,Male,black,,,No,Yes,Georgia,5/21/24,Representative,13,,3201,4.97%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Uloma Kama,Female,black (nigerian),,,No,Yes,Georgia,5/21/24,Representative,13,,1274,1.98%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Rashid Malik,Male,asian (bangladeshi),,,No,Yes,Georgia,5/21/24,Representative,13,,3073,4.77%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Karen Rene,Female,black,,,No,Yes,Georgia,5/21/24,Representative,13,,5859,9.09%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
David Scott,Male,black,,,Yes,No,Georgia,5/21/24,Representative,13,H2GA13012,37135,57.61%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Clarence Blalock,Male,white,,,No,No,Georgia,5/21/24,Representative,14,,7005,38.74%,Made runoff,3245,31.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shawn General Harris,Male,black,,,No,No,Georgia,5/21/24,Representative,14,,6881,38.05%,Made runoff,7219,68.99%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Deric Houston,Male,white,,,No,No,Georgia,5/21/24,Representative,14,,2630,14.54%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joseph Leigh,Male,white ,,,No,No,Georgia,5/21/24,Representative,14,,1566,8.66%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kaylee Peterson,Female,white,,,No,No,Idaho,5/21/24,Representative,1,,13982,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Roth,Male,white,,,No,No,Idaho,5/21/24,Representative,2,,17234,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Erin Marshall,Female,white,,,No,No,Kentucky,5/21/24,Representative,1,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
William Dakota Compton,Male,white,,,No,No,Kentucky,5/21/24,Representative,2,,9313,42.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hank Linderman,Male,white,,,No,No,Kentucky,5/21/24,Representative,2,,12515,57.33%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Morgan McGarvey,Male,white,,,Yes,No,Kentucky,5/21/24,Representative,3,H2KY03206,44275,84.11%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Jared Randall,Male,white,,,No,Yes,Kentucky,5/21/24,Representative,3,,2491,4.73%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,
"Geoffrey M. ""Geoff"" Young",Male,white,,,No,Yes,Kentucky,5/21/24,Representative,3,,5875,11.16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,
Randy Cravens,Male,white,,,No,No,Kentucky,5/21/24,Representative,6,,9305,25.99%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Todd Kelly,Male,white,,,No,No,Kentucky,5/21/24,Representative,6,,9104,25.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Don B. Pratt,Male,white,,,No,No,Kentucky,5/21/24,Representative,6,,4335,12.11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jonathan Richardson,Male,black,,,No,No,Kentucky,5/21/24,Representative,6,,4433,12.38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shauna Rudd,Female,white,,,No,No,Kentucky,5/21/24,Representative,6,,8627,24.10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Suzanne Bonamici,Female,white,,,Yes,No,Oregon,5/21/24,Representative,1,H2OR01133,75577,90.55%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Courtney E. Casgraux (Moore),Female,white,,,No,Yes,Oregon,5/21/24,Representative,1,,2500,3.00%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,No,N/A,
Jamil O. Ahmad,Male,middle eastern,,,No,Yes,Oregon,5/21/24,Representative,1,,5007,6.00%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,No,N/A,
Steve William Laible,Male,white,,,No,No,Oregon,5/21/24,Representative,2,,5325,13.47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Ruby,Male,white,,,No,No,Oregon,5/21/24,Representative,2,,33585,84.96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eddy Morales,Male,hispanic (mexican),,,No,No,Oregon,5/21/24,Representative,3,,13391,13.41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,No,N/A,
Ricardo Barajas,Male,hispanic (mexican),,,No,No,Oregon,5/21/24,Representative,3,,649,0.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,No,N/A,
Nolan Bylenga,Male,black,,,No,No,Oregon,5/21/24,Representative,3,,2138,2.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,No,N/A,
Maxine E. Dexter,Female,white,,,No,No,Oregon,5/21/24,Representative,3,,47254,47.32%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,No,N/A,
Michael Jonas,Male,white,,,No,No,Oregon,5/21/24,Representative,3,,2359,2.36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,No,N/A,
Rachel Lydia Rand,Female,white,,,No,No,Oregon,5/21/24,Representative,3,,856,0.86%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,No,N/A,
Susheela Jayapal,Female,Asian (Indian),,,No,No,Oregon,5/21/24,Representative,3,,32793,32.84%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,
Val Hoyle,Female,white,,,Yes,No,Oregon,5/21/24,Representative,4,H2OR04095,73444,98.38%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Janelle S. Bynum,Female,black,,,No,No,Oregon,5/21/24,Representative,5,,55473,69.44%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,
Jamie McLeod-Skinner,Female,white,,,No,No,Oregon,5/21/24,Representative,5,,23905,29.92%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,No,
Cody Reynolds,Male,white,,,No,Yes,Oregon,5/21/24,Representative,6,,7463,12.38%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,No,N/A,
