Personal Data,,,,,,,,Endorsement Data,,,Electoral Data,,,Factchecking Columns,,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,Trump,E-PAC,Winning for Women,Primary %,Primary Outcome,Chance of Winning (Nov 3),"Checked? (not H, J, K, L)",,Man vs. Woman?,"Checked? inc. H, J, K, P"
John Holtz,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,No,N/A,N/A,2,Lost,,,WyomingSenatorN/A,Yes,
Josh Wheeler,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,No,N/A,N/A,4,Lost,,,WyomingSenatorN/A,Yes,
Michael Kemler,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,No,N/A,N/A,1,Lost,,,WyomingSenatorN/A,Yes,
R. Mark Armstrong,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,No,N/A,N/A,4,Lost,,,WyomingSenatorN/A,Yes,
Robert Short,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,No,N/A,N/A,13,Lost,,,WyomingSenatorN/A,Yes,
Star Roselli,No,Yes,Wyoming,8/18/2020,Senator,N/A,Female,No,N/A,N/A,1,Lost,,,WyomingSenatorN/A,Yes,yes
Blake Stanley,No,No,Wyoming,8/18/2020,Representative,At-Large,Male,N/A,N/A,No,26,Lost,,,WyomingRepresentativeAt-Large,Yes,
Liz Cheney,Yes,No,Wyoming,8/18/2020,Representative,At-Large,Female,N/A,N/A,Yes,73,Won,,,WyomingRepresentativeAt-Large,Yes,yes
Mary Fay,No,Yes,Connecticut,8/11/2020,Representative,1,Female,N/A,N/A,N/A,58,Won,,,ConnecticutRepresentative1,Yes,yes
Jim Griffin,No,Yes,Connecticut,8/11/2020,Representative,1,Male,N/A,N/A,N/A,43,Lost,,,ConnecticutRepresentative1,Yes,
Thomas Gilmer,No,Yes,Connecticut,8/11/2020,Representative,2,Male,N/A,N/A,N/A,50,Lost,,,ConnecticutRepresentative2,No,
Justin Anderson,No,Yes,Connecticut,8/11/2020,Representative,2,Male,N/A,N/A,N/A,50,Won,,,ConnecticutRepresentative2,No,
Margaret Streicker,No,Yes,Connecticut,8/11/2020,Representative,3,Female,N/A,N/A,N/A,100,Won,,,ConnecticutRepresentative3,No,yes
Jonathan Riddle,No,Yes,Connecticut,8/11/2020,Representative,4,Male,N/A,N/A,N/A,100,Won,,,ConnecticutRepresentative4,No,
David X. Sullivan,No,Yes,Connecticut,8/11/2020,Representative,5,Male,N/A,N/A,N/A,100,Won,,,ConnecticutRepresentative5,No,
John L. Berman,No,Yes,Minnesota,8/11/2020,Senator,N/A,Male,No,N/A,N/A,7,Lost,,,MinnesotaSenatorN/A,Yes,
"Bob ""Again"" Carney Jr.",No,Yes,Minnesota,8/11/2020,Senator,N/A,Male,No,N/A,N/A,4,Lost,,,MinnesotaSenatorN/A,Yes,
Cynthia Gail,No,Yes,Minnesota,8/11/2020,Senator,N/A,Female,No,N/A,N/A,7,Lost,,,MinnesotaSenatorN/A,Yes,yes
Jason Lewis,No,Yes,Minnesota,8/11/2020,Senator,N/A,Male,Yes,N/A,N/A,78,Won,,yes,MinnesotaSenatorN/A,Yes,
James Reibestein,No,Yes,Minnesota,8/11/2020,Senator,N/A,Male,No,N/A,N/A,4,Lost,,,MinnesotaSenatorN/A,Yes,
