,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Isaac Smith,Male,White,,,N/A,2/28/2023,Nathaniel,,No,Yes,Texas,3/1/2022,Representative,26,"5,085",8%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrew Alvarez,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,27,"2,648",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Cloud,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,27,"45,741",72%,Won,N/A,N/A,N/A,Yes,12/10/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A.J. Louderback,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,27,"7,704",12%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Mapp,Male,White,,,Yes,3/5/2023,Kaleigh,,No,Yes,Texas,3/1/2022,Representative,27,"4,542",7%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Mireles,Male,Latino ,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,27,"2,478",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ed Cabrera,Male,Latino (Cuban),,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,28,"3,343",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Steven Fowler,Male,White,,,N/A,,Maya,,No,No,Texas,3/1/2022,Representative,28,"3,388",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Cassy Garcia,Female,Latino (Mexican),,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,28,"5,923",24%,Made runoff,"8,485",57%,Won,N/A,N/A,N/A,Yes (runoff only),N/A,Yes (runoff only),Yes (runoff only),Yes (runoff only),Yes (runoff only),
Eric Hohman,Male,White,,,N/A,2/28/2023,Nathaniel,,No,No,Texas,3/1/2022,Representative,28,"2,988",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Willie Vasquez Ng,Male,Asian,,,N/A,5/3/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,28,"3,358",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
