Personal Data,,,,,,,,Endorsement Data,,,,,,,,,,Electoral Data,,,,Factchecking Columns,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sanders,AOC,Party Committee,Biden,Obama,Primary %,Primary Outcome,"Checked? (not H, I, T)",,Man vs. Woman?,"Checked? inc. H, I, T, W",Notes
Rebecca Holcombe,No,Yes,Vermont,8/11/2020,Governor,N/A,Female,Yes,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,34,Lost,,VermontGovernorN/A,Yes,yes,
Patrick Winburn,No,Yes,Vermont,8/11/2020,Governor,N/A,Male,No,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,7,Lost,,VermontGovernorN/A,Yes,,
David Zuckerman,No,Yes,Vermont,8/11/2020,Governor,N/A,Male,No,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,44,Won,yes,VermontGovernorN/A,Yes,,
Josh Pade,No,Yes,Wisconsin,8/11/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Lost,,WisconsinRepresentative1,No,,
Roger Polack,No,Yes,Wisconsin,8/11/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,Won,,WisconsinRepresentative1,No,,
Mark Pocan,Yes,No,Wisconsin,8/11/2020,Representative,2,Male,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,100,Won,yes,WisconsinRepresentative2,No,,
Mark Neumann,No,No,Wisconsin,8/11/2020,Representative,3,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,Lost,,WisconsinRepresentative3,No,,
Ron Kind,Yes,No,Wisconsin,8/11/2020,Representative,3,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81,Won,,WisconsinRepresentative3,No,,
Gwen Moore,Yes,No,Wisconsin,8/11/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,WisconsinRepresentative4,No,yes,
Tom Palzewicz,No,Yes,Wisconsin,8/11/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,WisconsinRepresentative5,No,,
Matthew Boor,No,Yes,Wisconsin,8/11/2020,Representative,6,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Lost,,WisconsinRepresentative6,Yes,,
